UID,top_rec
1,"[{89: 2.501450723406753}, [89, 49, 65, 31, 72, 76, 93, 46, 88, 91]]"
2,"[{100: 5.03565996747953}, [100, 80, 75, 52, 30, 5, 72, 98, 17, 14]]"
3,"[{27: 9.228962913149193}, [27, 38, 89, 47, 72, 10, 63, 82, 14, 53]]"
4,"[{83: 5.018820453811076}, [83, 100, 54, 98, 81, 72, 12, 69, 52, 32]]"
5,"[{6: 5.71958078607887}, [6, 72, 29, 76, 34, 97, 78, 91, 80, 87]]"
6,"[{1: -2.6326811440728504}, [1, 15, 97, 16, 37, 100, 3, 69, 62, 46]]"
7,"[{50: 7.530063678099289}, [50, 62, 89, 54, 11, 38, 83, 93, 81, 88]]"
8,"[{29: 3.3373914917805125}, [29, 1, 69, 48, 7, 5, 66, 56, 54, 60]]"
9,"[{69: 3.042545129642695}, [69, 32, 89, 47, 21, 87, 29, 14, 28, 70]]"
10,"[{48: 6.136198315629558}, [48, 21, 69, 89, 72, 65, 100, 47, 93, 76]]"
11,"[{35: 6.8329141849320205}, [35, 69, 42, 21, 61, 54, 65, 26, 12, 46]]"
12,"[{29: 4.479357092263333}, [29, 72, 32, 88, 21, 69, 95, 92, 45, 1]]"
13,"[{35: 7.810623854425608}, [35, 50, 31, 48, 6, 12, 56, 72, 26, 89]]"
14,"[{11: 8.291711592434432}, [11, 1, 3, 55, 38, 36, 87, 60, 52, 12]]"
15,"[{90: 4.2024661747217245}, [90, 83, 40, 49, 72, 2, 96, 29, 52, 59]]"
16,"[{29: 4.1785213223911555}, [29, 35, 81, 46, 48, 25, 96, 55, 17, 92]]"
17,"[{89: 3.219158958468173}, [89, 72, 49, 54, 96, 76, 93, 88, 91, 92]]"
18,"[{73: 6.439379493266063}, [73, 72, 50, 29, 98, 31, 62, 61, 25, 42]]"
19,"[{36: 3.8007827385552817}, [36, 27, 89, 53, 35, 68, 69, 54, 10, 11]]"
20,"[{35: 3.36177571452324}, [35, 69, 89, 72, 49, 76, 66, 93, 87, 83]]"
21,"[{89: 2.8412614481315654}, [89, 27, 72, 93, 76, 91, 49, 87, 83, 88]]"
22,"[{38: 1.746576644958274}, [38, 3, 81, 37, 72, 89, 88, 87, 69, 44]]"
23,"[{48: 5.206434515377229}, [48, 89, 61, 12, 63, 72, 53, 25, 93, 88]]"
24,"[{72: 6.296511236112353}, [72, 87, 88, 77, 78, 36, 84, 27, 29, 98]]"
25,"[{36: 4.965526727842406}, [36, 89, 53, 68, 65, 56, 91, 88, 87, 76]]"
26,"[{11: 6.28883867431923}, [11, 50, 28, 35, 29, 89, 72, 49, 38, 56]]"
27,"[{62: 3.744084131807175}, [62, 89, 48, 28, 72, 97, 76, 88, 47, 91]]"
28,"[{89: 1.6938980691171555}, [89, 91, 15, 88, 32, 93, 81, 87, 72, 96]]"
29,"[{36: 4.917736153475874}, [36, 29, 10, 32, 69, 89, 1, 7, 96, 72]]"
30,"[{36: 4.482917544519545}, [36, 69, 89, 61, 46, 11, 72, 81, 68, 100]]"
31,"[{32: 4.8188978570952}, [32, 46, 11, 12, 23, 18, 57, 91, 6, 30]]"
32,"[{89: 3.432035864164673}, [89, 50, 81, 35, 72, 91, 87, 11, 88, 83]]"
33,"[{27: 4.450136941902767}, [27, 72, 65, 73, 38, 42, 100, 41, 84, 20]]"
34,"[{50: 3.018939606541503}, [50, 89, 35, 53, 81, 76, 83, 87, 49, 93]]"
35,"[{22: 6.159415869025799}, [22, 11, 12, 62, 69, 38, 56, 14, 3, 49]]"
36,"[{89: 3.8352063012878173}, [89, 47, 54, 76, 72, 29, 28, 93, 88, 27]]"
37,"[{11: 7.767380805944498}, [11, 48, 14, 36, 34, 26, 69, 100, 50, 39]]"
38,"[{89: 4.091711454753303}, [89, 49, 27, 72, 93, 42, 76, 31, 65, 19]]"
39,"[{27: 4.568293867292902}, [27, 36, 89, 22, 78, 45, 91, 46, 31, 96]]"
40,"[{89: 3.614752108220241}, [89, 49, 68, 76, 36, 78, 47, 72, 93, 54]]"
41,"[{31: 4.383808590718368}, [31, 72, 89, 65, 80, 83, 100, 78, 62, 76]]"
42,"[{50: 5.988889260612032}, [50, 21, 89, 14, 72, 81, 2, 100, 76, 91]]"
43,"[{65: 6.3980338042579366}, [65, 53, 69, 27, 81, 54, 100, 61, 39, 12]]"
44,"[{65: 4.0136256320936745}, [65, 35, 54, 46, 61, 25, 5, 76, 51, 8]]"
45,"[{66: 7.942884144398903}, [66, 47, 54, 11, 6, 94, 86, 76, 20, 2]]"
46,"[{29: 5.862395456787567}, [29, 50, 35, 36, 72, 98, 76, 11, 46, 25]]"
47,"[{12: 8.926449981268075}, [12, 27, 21, 100, 42, 83, 78, 72, 98, 89]]"
48,"[{69: 4.185825537485067}, [69, 65, 29, 26, 72, 80, 73, 83, 78, 76]]"
49,"[{1: 2.397196954661739}, [1, 89, 10, 3, 29, 54, 97, 91, 93, 88]]"
50,"[{42: 3.6566445017401823}, [42, 87, 65, 96, 82, 100, 99, 51, 17, 23]]"
51,"[{61: 5.213342466548507}, [61, 89, 55, 38, 66, 65, 83, 43, 1, 48]]"
52,"[{89: 4.0088277831732775}, [89, 56, 72, 93, 76, 91, 100, 87, 88, 45]]"
53,"[{36: 3.1637844966426085}, [36, 35, 53, 89, 27, 62, 54, 31, 10, 11]]"
54,"[{79: 1.4272504747137642}, [79, 66, 75, 35, 70, 26, 34, 25, 1, 40]]"
55,"[{29: 5.007099357292059}, [29, 2, 35, 81, 65, 31, 3, 11, 100, 22]]"
56,"[{50: 2.897384734005601}, [50, 100, 27, 52, 34, 26, 54, 89, 12, 6]]"
57,"[{61: 3.3541795040332882}, [61, 48, 26, 76, 98, 47, 11, 40, 100, 3]]"
58,"[{89: 3.0625368821773256}, [89, 94, 10, 96, 76, 86, 95, 88, 48, 93]]"
59,"[{53: -0.6250970262700775}, [53, 35, 76, 66, 93, 81, 83, 7, 87, 6]]"
60,"[{66: 6.880717606915034}, [66, 80, 54, 72, 39, 83, 100, 76, 98, 81]]"
61,"[{9: 6.891348996583323}, [9, 35, 67, 94, 25, 91, 96, 86, 95, 34]]"
62,"[{56: 5.009588084601141}, [56, 21, 39, 68, 47, 45, 40, 28, 83, 97]]"
63,"[{27: 6.036127504091773}, [27, 42, 14, 61, 100, 54, 50, 12, 36, 52]]"
64,"[{32: 1.839300215070406}, [32, 66, 31, 35, 81, 1, 26, 47, 80, 92]]"
65,"[{89: 2.759252639164682}, [89, 47, 76, 72, 93, 88, 87, 91, 96, 62]]"
66,"[{49: 6.548362594860642}, [49, 76, 47, 93, 92, 88, 87, 46, 97, 83]]"
67,"[{89: 2.0527861663874347}, [89, 81, 72, 50, 78, 76, 93, 88, 73, 91]]"
68,"[{12: 5.112607049609553}, [12, 2, 21, 65, 45, 100, 46, 87, 51, 9]]"
69,"[{83: 0.03790754311057587}, [83, 57, 72, 89, 81, 93, 92, 87, 91, 76]]"
70,"[{89: 3.613381070048876}, [89, 93, 91, 28, 88, 72, 94, 96, 1, 97]]"
71,"[{65: 5.862485491370022}, [65, 31, 89, 73, 78, 85, 48, 25, 96, 2]]"
72,"[{89: 0.9506619432000938}, [89, 93, 76, 87, 61, 88, 35, 97, 96, 94]]"
73,"[{60: 0.5652258596164601}, [60, 55, 67, 8, 38, 97, 66, 57, 48, 37]]"
74,"[{45: 9.61007961671817}, [45, 38, 68, 35, 42, 9, 49, 59, 23, 89]]"
75,"[{53: 6.360645767166396}, [53, 35, 69, 47, 94, 12, 39, 46, 48, 38]]"
76,"[{89: 4.2746377258102175}, [89, 97, 93, 32, 83, 84, 72, 76, 91, 90]]"
77,"[{96: 5.645142283480366}, [96, 79, 89, 97, 6, 91, 75, 21, 30, 19]]"
78,"[{100: 6.496144717951832}, [100, 78, 73, 89, 6, 80, 72, 83, 76, 90]]"
79,"[{95: 6.169664329935152}, [95, 28, 18, 9, 92, 93, 47, 62, 23, 70]]"
80,"[{89: 1.9421110389671208}, [89, 98, 81, 83, 100, 72, 11, 93, 97, 76]]"
81,"[{89: 3.481427375404704}, [89, 83, 72, 11, 76, 65, 14, 66, 93, 12]]"
82,"[{89: 3.3362826452485024}, [89, 53, 69, 72, 36, 93, 47, 65, 83, 42]]"
83,"[{83: 1.7035402943257776}, [83, 78, 100, 69, 27, 28, 20, 73, 90, 18]]"
84,"[{38: 3.4740887866813557}, [38, 96, 9, 29, 94, 88, 66, 91, 60, 89]]"
85,"[{68: 6.912556374240983}, [68, 54, 89, 69, 53, 65, 6, 93, 72, 76]]"
86,"[{96: 4.026276856042195}, [96, 89, 92, 76, 88, 72, 69, 93, 95, 94]]"
87,"[{73: 7.255707338433824}, [73, 27, 100, 79, 51, 86, 89, 59, 48, 74]]"
88,"[{54: 3.938459017126637}, [54, 53, 72, 49, 83, 80, 89, 76, 6, 35]]"
89,"[{89: 0.9847331756867939}, [89, 93, 88, 31, 91, 72, 78, 85, 81, 94]]"
90,"[{28: 5.110772384435267}, [28, 90, 82, 39, 31, 65, 50, 25, 29, 6]]"
91,"[{89: 4.952670635286607}, [89, 62, 32, 28, 97, 76, 93, 91, 48, 94]]"
92,"[{89: 7.080060331054292}, [89, 49, 93, 83, 72, 78, 76, 73, 91, 77]]"
93,"[{89: 1.4909170957449458}, [89, 36, 32, 35, 1, 10, 53, 60, 91, 68]]"
94,"[{27: 5.777248991975953}, [27, 47, 28, 48, 78, 73, 72, 89, 80, 76]]"
95,"[{35: 7.61001558250333}, [35, 1, 45, 89, 65, 49, 60, 82, 70, 86]]"
96,"[{89: 3.710595669177043}, [89, 68, 62, 94, 96, 97, 86, 92, 95, 91]]"
97,"[{32: 3.5582046379662513}, [32, 54, 62, 87, 29, 35, 1, 6, 43, 68]]"
98,"[{27: 4.66810001971177}, [27, 1, 35, 88, 100, 73, 89, 85, 10, 31]]"
99,"[{90: 3.217413540510338}, [90, 28, 40, 72, 12, 60, 3, 19, 52, 99]]"
100,"[{89: -0.07476482700282583}, [89, 50, 76, 93, 72, 87, 81, 91, 96, 88]]"
101,"[{68: 7.0255427254516505}, [68, 27, 89, 78, 72, 80, 61, 73, 83, 93]]"
102,"[{21: 3.883299252872269}, [21, 27, 34, 14, 22, 100, 25, 11, 81, 42]]"
103,"[{50: 2.198777925853136}, [50, 89, 18, 94, 86, 95, 3, 15, 57, 88]]"
104,"[{81: 0.19289081797976032}, [81, 72, 100, 83, 89, 76, 98, 93, 52, 35]]"
105,"[{89: 0.09196535368258951}, [89, 76, 93, 97, 72, 95, 87, 88, 83, 96]]"
106,"[{65: 6.410699992760707}, [65, 72, 83, 36, 89, 29, 78, 80, 73, 93]]"
107,"[{10: 4.093239730882537}, [10, 22, 35, 69, 38, 62, 5, 72, 76, 6]]"
108,"[{89: 1.8106671762402096}, [89, 76, 93, 97, 96, 72, 32, 91, 49, 88]]"
109,"[{22: 5.597327620416377}, [22, 9, 36, 42, 89, 12, 27, 91, 11, 72]]"
110,"[{62: 8.813863033422997}, [62, 38, 95, 20, 66, 6, 61, 70, 64, 36]]"
111,"[{89: 2.8019458741870924}, [89, 36, 76, 72, 88, 91, 69, 35, 87, 96]]"
112,"[{35: 7.192503663355121}, [35, 53, 62, 89, 38, 31, 72, 81, 76, 83]]"
113,"[{89: 0.8773243757319329}, [89, 81, 93, 87, 100, 76, 91, 72, 80, 83]]"
114,"[{69: 2.6303946233855635}, [69, 29, 89, 72, 76, 87, 21, 83, 93, 88]]"
115,"[{55: 4.999936431685372}, [55, 11, 40, 21, 60, 1, 81, 69, 89, 62]]"
116,"[{53: 4.014907488828312}, [53, 36, 56, 14, 8, 66, 83, 12, 7, 85]]"
117,"[{89: 3.8570315697565856}, [89, 54, 91, 66, 72, 96, 46, 88, 97, 93]]"
118,"[{29: 3.543257941817159}, [29, 89, 36, 81, 65, 32, 93, 87, 91, 76]]"
119,"[{100: 10.0}, [100, 98, 52, 81, 83, 29, 35, 5, 78, 87]]"
120,"[{61: 4.1251077766877655}, [61, 54, 72, 89, 87, 6, 73, 76, 83, 93]]"
121,"[{50: 7.554481747695133}, [50, 35, 12, 66, 38, 22, 72, 89, 40, 76]]"
122,"[{89: 5.5356076170302595}, [89, 72, 69, 78, 47, 26, 73, 98, 63, 9]]"
123,"[{89: 1.522439402162967}, [89, 76, 72, 88, 93, 32, 87, 91, 81, 94]]"
124,"[{49: 4.745592769043298}, [49, 54, 98, 61, 72, 93, 14, 96, 81, 90]]"
125,"[{27: -0.8910654991472873}, [27, 87, 81, 76, 36, 72, 89, 93, 83, 31]]"
126,"[{50: 3.01067491959546}, [50, 42, 26, 69, 32, 36, 89, 72, 91, 93]]"
127,"[{89: -0.16741740967547325}, [89, 72, 76, 65, 29, 81, 83, 87, 93, 69]]"
